id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p2-n9-0001,ddgp,3,9,2,1-9;7-9,"{1,2,3,4,5,6,7,8,9}","{5,6,7,8,9}",5,2,1,2,0,0,1,2,1,1,0,1,True,"{9}@{2,3,8}:base-clique;{9}@{2,3,8}:cone",,2,1,1,0,True,True,True
ddgp-p2-n9-0002,ddgp,3,9,2,3-7;3-8,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,0,0,1,0,0,1,0,0,0,0,1,True,,,1,1,0,0,True,True,True
ddgp-p2-n9-0003,ddgp,3,9,2,5-7;5-8,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,2,1,2,0,0,1,1,1,1,0,1,True,"{8}@{2,3,4}:base-clique;{8}@{2,3,4}:cone",,2,1,1,0,True,True,True
ddgp-p2-n9-0004,ddgp,3,9,2,3-5;6-8,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,3,2,4,0,0,1,2,2,2,0,1,True,"{8}@{2,3,7}:base-clique;{8}@{2,3,7}:cone;{5}@{1,2,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n9-0005,ddgp,3,9,2,1-8;5-7,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,4,2,4,0,0,1,2,2,2,0,1,True,"{8}@{3,5,6}:base-clique;{8}@{3,5,6}:cone;{7}@{1,3,6}:base-clique;{7}@{1,3,6}:cone",,4,1,2,0,True,True,True
ddgp-p2-n9-0006,ddgp,3,9,2,2-9;3-7,"{1,2,3,4,5,6,7,9}","{5,6,7,9}",4,5,3,8,0,0,1,3,3,3,0,1,True,"{9}@{4,5,6}:base-clique;{9}@{4,5,6}:cone;{7}@{1,5,6}:base-clique;{7}@{1,5,6}:cone;{5,6,7,9}@{1,2,4}:base-clique",,8,1,3,0,True,True,True
ddgp-p2-n9-0007,ddgp,3,9,2,1-7;2-8,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,2,1,2,0,0,1,1,1,1,0,1,True,"{8}@{5,6,7}:base-clique;{8}@{5,6,7}:cone",,2,1,1,0,True,True,True
ddgp-p2-n9-0008,ddgp,3,9,2,3-8;6-8,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,2,1,2,0,0,1,2,1,1,0,1,True,"{8}@{1,5,7}:base-clique;{8}@{1,5,7}:cone",,2,1,1,0,True,True,True
ddgp-p2-n9-0009,ddgp,3,9,2,2-5;4-9,"{1,2,3,4,5,6,9}","{5,6,9}",3,6,3,8,2,1,2,2,2,3,1,2,True,"{9}@{3,5,6}:base-clique;{9}@{3,5,6}:cone;{6,9}@{3,4,5}:base-clique;{6,9}@{3,4,5}:cone;{5,6,9}@{1,3,4}:base-clique;{5,6,9}@{1,3,4}:cone","{6,9}@{3,4,5}:base-clique;{6,9}@{3,4,5}:cone",8,2,3,1,True,True,True
ddgp-p2-n9-0010,ddgp,3,9,2,2-6;6-8,"{1,2,3,4,5,6,7,8}","{5,6,7,8}",4,4,2,4,0,0,1,3,2,2,0,1,True,"{8}@{2,5,7}:base-clique;{8}@{2,5,7}:cone;{6}@{1,3,5}:base-clique;{6}@{1,3,5}:cone",,4,1,2,0,True,True,True
ddgp-p2-n9-0011,ddgp,3,9,2,4-7;7-9,"{1,2,3,4,5,6,7,9}","{5,6,7,9}",4,4,2,4,0,0,1,3,2,2,0,1,True,"{9}@{1,4,5}:base-clique;{9}@{1,4,5}:cone;{6,7}@{1,3,5}:base-clique;{6,7}@{1,3,5}:cone",,4,1,2,0,True,True,True
ddgp-p2-n9-0012,ddgp,3,9,2,6-9;8-9,"{1,2,3,4,6,7,8,9}","{6,7,8,9}",4,4,2,4,0,0,1,3,2,2,0,1,True,"{9}@{2,4,7}:base-clique;{9}@{2,4,7}:cone;{8}@{2,6,7}:base-clique;{8}@{2,6,7}:cone",,4,1,2,0,True,True,True
ddgp-p2-n9-0013,ddgp,3,9,2,1-7;6-9,"{1,2,3,4,5,6,7,8,9}","{5,6,7,8,9}",5,4,2,4,0,0,1,2,2,2,0,1,True,"{9}@{4,5,8}:base-clique;{9}@{4,5,8}:cone;{7}@{4,5,6}:base-clique;{7}@{4,5,6}:cone",,4,1,2,0,True,True,True
ddgp-p2-n9-0014,ddgp,3,9,2,3-7;4-9,"{1,2,3,4,6,7,8,9}","{6,7,8,9}",4,2,1,2,0,0,1,1,1,1,0,1,True,"{9}@{1,3,8}:base-clique;{9}@{1,3,8}:cone",,2,1,1,0,True,True,True
ddgp-p2-n9-0015,ddgp,3,9,2,4-8;6-9,"{1,2,3,4,5,6,7,8,9}","{5,6,7,8,9}",5,2,1,2,0,0,1,1,1,1,0,1,True,"{9}@{2,3,8}:base-clique;{9}@{2,3,8}:cone",,2,1,1,0,True,True,True
