id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p2-n10-0001,ddgp,2,10,2,1-10;6-9,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,12,7,8,4,7,3,8,0,0,1,13,7,7,0,1,True,True,"{10}@{5,7}:base-clique;{10}@{5,7}:cone;{9}@{4,8}:base-clique;{9}@{4,8}:cone;{8,9}@{1,3}:cone;{7,10}@{2,3}:cone;{6}@{2,4}:base-clique;{6}@{2,4}:cone;{5,10}@{1,3}:cone;{5,8,9,10}@{1,3}:base-clique;{4,6,9}@{2,3}:cone;{4,6,7,9,10}@{2,3}:base-clique",,8,1,3,0,True,True,True
ddgp-p2-n10-0002,ddgp,2,10,2,2-10;5-8,"{1,2,3,4,5,7,8,10}","{4,5,7,8,10}",5,9,5,1,1,5,4,16,1,1,2,5,4,5,1,2,True,True,"{10}@{3,7}:base-clique;{10}@{3,7}:cone;{8}@{1,3}:base-clique;{8}@{1,3}:cone;{7,10}@{3,4}:base-clique;{7,10}@{3,4}:cone;{5}@{2,3}:cone;{4,7,10}@{2,3}:cone;{4,5,7,10}@{2,3}:base-clique","{4,7,10}@{2,3}:cone",16,2,4,1,True,True,True
ddgp-p2-n10-0003,ddgp,2,10,2,3-10;7-9,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,13,7,8,4,8,4,16,0,0,1,14,8,8,0,1,True,True,"{10}@{2,8}:base-clique;{10}@{2,8}:cone;{9}@{5,8}:base-clique;{9}@{5,8}:cone;{8,9,10}@{2,3}:cone;{7}@{5,6}:base-clique;{7}@{5,6}:cone;{6,7}@{4,5}:base-clique;{6,7}@{4,5}:cone;{5,6,7,9}@{2,3}:cone;{5,6,7,8,9,10}@{2,3}:base-clique;{4,6,7}@{1,2}:base-clique;{4,6,7}@{1,2}:cone",,16,1,4,0,True,True,True
ddgp-p2-n10-0004,ddgp,2,10,2,1-5;5-10,"{1,2,3,4,5,7,8,10}","{4,5,7,8,10}",5,10,5,12,4,5,1,2,0,0,1,15,5,5,0,1,True,True,"{10}@{3,8}:base-clique;{10}@{3,8}:cone;{8,10}@{2,7}:base-clique;{8,10}@{2,7}:cone;{7,8,10}@{3,5}:base-clique;{7,8,10}@{3,5}:cone;{5,7,8,10}@{2,4}:base-clique;{5,7,8,10}@{2,4}:cone;{4,5,7,8,10}@{1,3}:base-clique;{4,5,7,8,10}@{1,3}:cone",,2,1,1,0,True,True,True
ddgp-p2-n10-0005,ddgp,2,10,2,2-10;5-7,"{1,2,3,4,5,7,8,10}","{4,5,7,8,10}",5,9,5,8,3,5,2,4,0,0,1,13,5,5,0,1,True,True,"{10}@{1,8}:base-clique;{10}@{1,8}:cone;{8,10}@{3,7}:base-clique;{8,10}@{3,7}:cone;{7,8,10}@{2,4}:base-clique;{7,8,10}@{2,4}:cone;{5}@{1,3}:cone;{4,7,8,10}@{1,3}:cone;{4,5,7,8,10}@{1,3}:base-clique",,4,1,2,0,True,True,True
ddgp-p2-n10-0006,ddgp,2,10,2,1-10;3-7,"{1,2,3,5,6,7,10}","{5,6,7,10}",4,8,4,3,1,4,3,8,0,0,1,7,4,4,0,1,True,True,"{10}@{5,6}:base-clique;{10}@{5,6}:cone;{7}@{1,6}:base-clique;{7}@{1,6}:cone;{6,7,10}@{1,5}:base-clique;{6,7,10}@{1,5}:cone;{5,6,7,10}@{2,3}:base-clique;{5,6,7,10}@{2,3}:cone",,8,1,3,0,True,True,True
ddgp-p2-n10-0007,ddgp,2,10,2,1-4;6-7,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,7,4,0,0,4,4,16,0,0,1,4,4,4,0,1,True,True,"{7}@{2,3}:cone;{6}@{1,5}:base-clique;{6}@{1,5}:cone;{5,6}@{1,3}:base-clique;{5,6}@{1,3}:cone;{4}@{2,3}:cone;{4,7}@{2,3}:base-clique",,16,1,4,0,True,True,True
ddgp-p2-n10-0008,ddgp,2,10,2,1-7;4-7,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,8,4,4,2,4,2,4,0,0,1,10,4,4,0,1,True,True,"{7}@{5,6}:base-clique;{7}@{5,6}:cone;{6,7}@{2,3}:base-clique;{6,7}@{2,3}:cone;{5,7}@{1,3}:base-clique;{5,7}@{1,3}:cone;{4}@{1,2}:base-clique;{4}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0009,ddgp,2,10,2,1-6;8-10,"{1,2,3,4,5,6,8,9,10}","{4,5,6,8,9,10}",6,12,6,10,3,6,3,8,0,0,1,16,6,6,0,1,True,True,"{10}@{2,9}:base-clique;{10}@{2,9}:cone;{9,10}@{1,4}:base-clique;{9,10}@{1,4}:cone;{8}@{3,5}:base-clique;{8}@{3,5}:cone;{6}@{4,5}:base-clique;{6}@{4,5}:cone;{5,6,8}@{1,2}:base-clique;{5,6,8}@{1,2}:cone;{4,6,9,10}@{1,3}:base-clique;{4,6,9,10}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-p2-n10-0010,ddgp,2,10,2,2-7;3-5,"{1,2,3,4,5,7}","{4,5,7}",3,5,3,2,2,3,1,2,0,0,1,5,3,3,0,1,True,True,"{7}@{1,4}:cone;{5}@{1,4}:cone;{5,7}@{1,4}:base-clique;{4,5,7}@{1,2}:base-clique;{4,5,7}@{1,2}:cone",,2,1,1,0,True,True,True
ddgp-p2-n10-0011,ddgp,2,10,2,2-9;3-9,"{1,2,3,4,5,9}","{4,5,9}",3,6,3,0,0,3,3,8,0,0,1,5,3,3,0,1,True,True,"{9}@{1,5}:base-clique;{9}@{1,5}:cone;{5,9}@{1,4}:base-clique;{5,9}@{1,4}:cone;{4,5,9}@{1,3}:base-clique;{4,5,9}@{1,3}:cone",,8,1,3,0,True,True,True
